작품명,캐릭터 한글명,캐릭터 영문 프롬프트
Fate/Grand Order,BB (도쿄),bb_(fate)_(swimsuit_mooncancer)
Fate/Grand Order,BB 수영복,BBBB_(Summer)
Fate/Grand Order,가레스,Gareth
Fate/Grand Order,가레스 수영복,Gareth_(Swimsuit_Saber)
Fate/Grand Order,갈라테이아,Galatea
Fate/Grand Order,고르곤,Gorgon
Fate/Grand Order,그레이,Gray
Fate/Grand Order,기네비어,guinevere_(fate)
Fate/Grand Order,나가오 카게토라,uesugi_kenshin_(fate)
Fate/Grand Order,나가오 카케토라,Nagao_Kagetora
Fate/Grand Order,나가오카비카,okita_souji_(swimsuit_saber)_(fate)
Fate/Grand Order,나가타 시즈카,fujimaru_ritsuka
Fate/Grand Order,나이팅게일,Nightingale
Fate/Grand Order,나이팅게일 산타,Nightingale_(Santa)
Fate/Grand Order,나타,Nezha
Fate/Grand Order,네로 클라디우스,Nero_Claudius
Fate/Grand Order,네로 클라디우스 브라이드,Nero_Claudius_(Bride)
Fate/Grand Order,네로 클라디우스 캐스터,Nero_Claudius_(Caster)
Fate/Grand Order,니토크리스,Nitocris
Fate/Grand Order,니토크리스 수영복,Nitocris_(Assassin)
Fate/Grand Order,도브리냐 니키티치,Dobrynya_Nikitich
Fate/Grand Order,락슈미바이,Lakshmibai
Fate/Grand Order,레오나르도 다 빈치,Leonardo_Da_Vinci
Fate/Grand Order,레오나르도 다 빈치 라이더,Leonardo_Da_Vinci_(Rider)
Fate/Grand Order,레오나르도 다 빈치 룰러,Leonardo_Da_Vinci_(Ruler)
Fate/Grand Order,료우기 시키,Ryōgi_Shiki_(Assassin)
Fate/Grand Order,료우기 시키 기모노,Ryōgi_Shiki_(Saber)
Fate/Grand Order,마나난 막 리르,Manannán_mac_Lir_(Bazett)
Fate/Grand Order,마르타,Martha
Fate/Grand Order,마르타 산타,Martha_(Santa)
Fate/Grand Order,마르타 수영복,Martha_(Ruler)
Fate/Grand Order,마리 앙투아네트,Marie_Antoinette
Fate/Grand Order,마리 앙투아네트 수영복,Marie_Antoinette_(Swimsuit_Caster)
Fate/Grand Order,마슈 키리에라이트,Mashu_Kyrielight
Fate/Grand Order,마타 하리,Mata_Hari
Fate/Grand Order,멀린 프로토타입,Merlin_(Prototype)
Fate/Grand Order,멀린 프로토타입 수영복,Lady_Avalon
Fate/Grand Order,메데이아 릴리,Medea_(Lily)
Fate/Grand Order,메두사,Medea
Fate/Grand Order,메두사 랜서,Medusa_(Lancer)
Fate/Grand Order,메이브,Queen_Medb
Fate/Grand Order,메이브 수영복,Queen_Medb_(Swimsuit_Saber)
Fate/Grand Order,메카 엘리자베트 1호,Mecha_Eli-chan
Fate/Grand Order,메카 엘리자베트 2호,Mecha_Eli-chan_Mk.II
Fate/Grand Order,멜뤼진,Mélusine
Fate/Grand Order,멜리시아 카운터,melusine_(fate)
Fate/Grand Order,멜트릴리스,Meltlilith
Fate/Grand Order,멜트릴리스 수영복,Mysterious_Alter_Ego_Λ
Fate/Grand Order,모드레드,Mordred
Fate/Grand Order,모드레드 수영복,Mordred_(Swimsuit_Rider)
Fate/Grand Order,모르간,Morgan
Fate/Grand Order,모치즈키 치요메,Mochizuki_Chiyome
Fate/Grand Order,무라사키 시키부,Murasaki_Shikibu
Fate/Grand Order,무라사키 시키부 수영복,Murasaki_Shikibu_(Swimsuit_Rider)
Fate/Grand Order,무측천,Wu_Zetian
Fate/Grand Order,무측천 수영복,Wu_Zetian_(Swimsuit_Caster)
Fate/Grand Order,미나모토노 라이코,minamoto_no_raikou_(fate)
Fate/Grand Order,미나모토노 라이코 수영복,Minamoto_no_Raikō_(Swimsuit_Lancer)
Fate/Grand Order,미나모토노 라이코ō,Minamoto_no_Raikō
Fate/Grand Order,미네바 라오 자비,minamoto_no_yoshitsune_(fate)
Fate/Grand Order,미스 크레인,Miss_Crane
Fate/Grand Order,미야모토 무사시,Miyamoto_Musashi
Fate/Grand Order,미야모토 무사시 수영복,Miyamoto_Musashi_(Swimsuit_Berserker)
Fate/Grand Order,바게스트,Barghest
Fate/Grand Order,바반시,Baobhan_Sith
Fate/Grand Order,바트라잘,bathory_(fate)
Fate/Grand Order,반 고흐,Van_Gogh
Fate/Grand Order,발키리,Valkyrie
Fate/Grand Order,백모의 핫산,Hassan_of_the_Hundred_Faces
Fate/Grand Order,베니 엔마 -,Beni-enma
Fate/Grand Order,벤케이,musashibou_benkei_(fate)
Fate/Grand Order,부디카,Boudica
Fate/Grand Order,브라단만테,Bradamante
Fate/Grand Order,브륀힐데,Brynhildr
Fate/Grand Order,브륀힐데 수영복,Brynhildr_(Berserker)
Fate/Grand Order,브리트라,Vritra
Fate/Grand Order,살로메,Salome
Fate/Grand Order,샤를로트 코르데,Charlotte_Corday
Fate/Grand Order,샤를로트 코르데 수영복,Charlotte_Corday_(Caster)
Fate/Grand Order,샬롯 코르데,charlotte_corday_(fate)
Fate/Grand Order,세노 리큐,Sen_no_Rikyū
Fate/Grand Order,세미라미스,Semiramis
Fate/Grand Order,세이 쇼나곤,Sei_Shōnagon
Fate/Grand Order,세이 쇼나곤 수영복,Sei_Shōnagon_(Swimsuit_Berserker)
Fate/Grand Order,셋쇼인 키아라,Sesshōin_Kiara
Fate/Grand Order,셋쇼인 키아라 수영복,Sesshōin_Kiara_(Swimsuit_Moon_Cancer)
Fate/Grand Order,셰헤라자데,Scheherazade
Fate/Grand Order,수수께끼의 아이돌 얼터,XMysterious_Idol_X_(Alter)
Fate/Grand Order,수수께끼의 히로인,X_Mysterious_Heroine_X
Fate/Grand Order,수수께끼의 히로인 얼터,XMysterious_Heroine_X_(Alter)
Fate/Grand Order,순,shuten_douji_(fate)
Fate/Grand Order,슈텐도지,Shuten_Dōji
Fate/Grand Order,슈텐도지 캐스터,Shuten_Dōji_(Caster)
Fate/Grand Order,스즈카 고젠,Suzuka_Gozen
Fate/Grand Order,스즈카 고젠 산타,Suzuka_Gozen_(Santa)
Fate/Grand Order,스카디,Scáthach-Skaði
Fate/Grand Order,스카디 수영복,Scáthach-Skaði_(Swimsuit_Ruler)
Fate/Grand Order,스카사하,Scáthach
Fate/Grand Order,스카사하 수영복,Scáthach_(Swimsuit_Assassin)
Fate/Grand Order,스카사하 스카디,scathach-skadi
Fate/Grand Order,스카하,scathach_(fate)
Fate/Grand Order,스텐노,Stheno
Fate/Grand Order,스페이스 이슈타르,Space_Ishtar
Fate/Grand Order,시바의 여왕,Queen_of_Sheba
Fate/Grand Order,시타,Sita
Fate/Grand Order,시토나이,Sitonai
Fate/Grand Order,아나스타샤,Anastasia
Fate/Grand Order,아나스타샤 & 비비 &,Anastasia_&_Viy
Fate/Grand Order,아르토리아 캐스터,Artoria_Caster
Fate/Grand Order,아르토리아 페그래곤,artoria_pendragon_(fate)
Fate/Grand Order,아르토리아 펜드래곤,Artoria_Pendragon
Fate/Grand Order,아르토리아 펜드래곤 랜서,Artoria_Pendragon_(Lancer)
Fate/Grand Order,아르토리아 펜드래곤 랜서 룰러,Artoria_Pendragon_(Ruler)
Fate/Grand Order,아르토리아 펜드래곤 랜서 얼터,Artoria_Pendragon_(Lancer_Alter)
Fate/Grand Order,아르토리아 펜드래곤 릴리,Artoria_Pendragon_(Lily)
Fate/Grand Order,아르토리아 펜드래곤 수영복,Artoria_Pendragon_(Swimsuit_Archer)
Fate/Grand Order,아르토리아 펜드래곤 얼터,Artoria_Pendragon_(Alter)
Fate/Grand Order,아르토리아 펜드래곤 얼터 (산타),Artoria_Pendragon_(Santa_Alter)
Fate/Grand Order,아르토리아 펜드래곤 얼터 수영복,Artoria_Pendragon_(Swimsuit_Rider_Alter)
Fate/Grand Order,아베노 세이메이,abe_no_seimei
Fate/Grand Order,아비게일 윌리엄스,Abigail_Williams
Fate/Grand Order,아비게일 윌리엄스(수영복),Abigail_Williams_(Swimsuit_Summer)
Fate/Grand Order,아사가미 후지노,Asagami_Fujino
Fate/Grand Order,아스토르포,astolfo_(fate)
Fate/Grand Order,아스트레아,Astraea
Fate/Grand Order,아탈란테,Atalanta
Fate/Grand Order,아탈란테 얼터,Atalanta_(Alter)
Fate/Grand Order,아토라무 갈라테아,atalanta_(fate)
Fate/Grand Order,알테라,Altera
Fate/Grand Order,알테라 산 타,Altera_the_San(ta)
Fate/Grand Order,앤 보니 & 메리 리드,Anne_Bonny_&_Mary_Read
Fate/Grand Order,앤 보니 & 메리 리드 수영복,Anne_Bonny_&_Mary_Read_(Archer)
Fate/Grand Order,양귀비,Yang_Guifei
Fate/Grand Order,에레쉬키갈,Ereshkigal
Fate/Grand Order,에레슈키갈,ereshkigal_(fate)
Fate/Grand Order,에우로페,Europa
Fate/Grand Order,에우리알레,Euryale
Fate/Grand Order,엘레나 블레바츠키,Helena_Blavatsky
Fate/Grand Order,엘레나 블레바츠키 수영복,Helena_Blavatsky_(Swimsuit_Archer)
Fate/Grand Order,엘레나 블레바크치 산타,Helena_Blavatsky_(Christmas)
Fate/Grand Order,엘리자베스 바토리,Elizabeth_Báthory
Fate/Grand Order,엘리자베스 바토리 브레이브,Elizabeth_Báthory_(Brave)
Fate/Grand Order,엘리자베스 바토리 신데렐라,Elizabeth_Báthory_(Cinderella)
Fate/Grand Order,엘리자베스 바토리 할로윈,Elizabeth_Báthory_(Halloween)
Fate/Grand Order,오다 노부가나 어벤저,Oda_Nobunaga_(Avenger)
Fate/Grand Order,오다 노부나가,Oda_Nobunaga
Fate/Grand Order,오다 노부나가 수영복,Oda_Nobunaga_(Swimsuit_Berserker)
Fate/Grand Order,오사카베히메,Osakabehime
Fate/Grand Order,오사카베히메 수영복,Osakabehime_(Archer)
Fate/Grand Order,오키타 J 소지,JOkita_J_Sōji_Swimsuit
Fate/Grand Order,오키타 소지,Okita_Sōji
Fate/Grand Order,오키타 소지 얼터,Okita_Sōji_(Alter)
Fate/Grand Order,오키타 알터,okita_souji_alter
Fate/Grand Order,우 즈키,katsushika_oui
Fate/Grand Order,우미인,Consort_Yu
Fate/Grand Order,우미인 수영복,Consort_Yu_(Swimsuit_Lancer)
Fate/Grand Order,우시와카마루,Ushiwakamaru
Fate/Grand Order,우시와카마루 수영복,Ushiwakamaru_(Swimsuit_Assassin)
Fate/Grand Order,우츠미 에리세,Utsumi_Erice
Fate/Grand Order,우츠미 에리세 수영복,Utsumi_Erice_(Swimsuit_Avenger)
Fate/Grand Order,이리야스필 폰 아인츠베른,illyasviel_von_einzbern
Fate/Grand Order,이바라키도지,Ibaraki_Dōji
Fate/Grand Order,이바라키도지 수영복,Ibaraki_Dōji_(Lancer)
Fate/Grand Order,이부키도지,Ibuki_Dōji
Fate/Grand Order,이부키도지 수영복,Ibuki_Dōji_(Swimsuit_Berserker)
Fate/Grand Order,이슈타르,Ishtar
Fate/Grand Order,이슈타르 수영복,Ishtar_(Swimsuit_Rider)
Fate/Grand Order,이요,Iyo
Fate/Grand Order,이즈모의 오쿠니,Izumo_no_Okuni
Fate/Grand Order,자크 데 몰레,Jacques_de_Molay
Fate/Grand Order,잔 다르크,Jeanne_d'Arc
Fate/Grand Order,잔 다르크 (산타 릴리),jeanne_d'arc_alter_santa_lily
Fate/Grand Order,잔 다르크 수영복,Jeanne_d'Arc_(Archer)
Fate/Grand Order,잔 다르크 얼터,Jeanne_d'Arc_(Alter)
Fate/Grand Order,잔 다르크 얼터 산타 릴리,Jeanne_d'Arc_(Alter)_(Santa_Lily)
Fate/Grand Order,잔 다르크 얼터 수영복,Jeanne_d'Arc_(Berserker_Alter)
Fate/Grand Order,잔다르크 (얼터),jeanne_d'arc_alter
Fate/Grand Order,재규어맨,Jaguar_Man
Fate/Grand Order,잭 더 리퍼,Jack_the_Ripper
Fate/Grand Order,정밀의 핫산,Hassan_of_the_Serenity
Fate/Grand Order,제노비아,Zenobia
Fate/Grand Order,주나,junao
Fate/Grand Order,지나코 카리기리,Jinako_Carigiri
Fate/Grand Order,진 잔다르크,jeanne_d'arc_(fate)
Fate/Grand Order,진양옥,Qin_Liangyu
Fate/Grand Order,쯩 자매,Trung_Sisters
Fate/Grand Order,차차,Chacha
Fate/Grand Order,카마,Kame
Fate/Grand Order,카마 수영복,Kama_(Swimsuit_Avenger)
Fate/Grand Order,카밀라,Carmilla
Fate/Grand Order,카밀라 수영복,Carmilla_(Rider)
Fate/Grand Order,캘러미티 제인,Calamity_Jane
Fate/Grand Order,케찰코아틀,Quetzalcoatl
Fate/Grand Order,케찰코아틀 산타,Quetzalcoatl_(Samba/Santa)
Fate/Grand Order,코야스 츠바메,okita_souji_(fate)
Fate/Grand Order,쿠로 폰 아인츠베른,chloe_von_einzbern
Fate/Grand Order,쿠츠시카 호쿠사이,katsushika_hokusai_(fate)
Fate/Grand Order,클레오파트라,Cleopatra
Fate/Grand Order,키르케,Circe
Fate/Grand Order,타마모 노 마에,tamamo_no_mae_(fate)
Fate/Grand Order,타마모 비스트,tamamo_no_mae_(swimsuit_lancer)_(fate)
Fate/Grand Order,타마모 캣,Tamamo_Cat
Fate/Grand Order,타마모노마에,Tamamo_no_Mae
Fate/Grand Order,타마모노마에 수영복,Tamamo_no_Mae_(Swimsuit_Lancer)
Fate/Grand Order,타마모빗치 코얀스카야,Tamamo_Vitch_Koyanskaya
Fate/Grand Order,타마모빗치 코얀스카야 포리너,Tamamo_Vitch_Koyanskaya_(Foreigner)
Fate/Grand Order,타마모캐트,tamamo_cat_(fate)
Fate/Grand Order,타이마트,Tiamat
Fate/Grand Order,토모에 고젠,Tomoe_Gozen
Fate/Grand Order,토모에 고젠 수영복,Tomoe_Gozen_(Swimsuit_Saber)
Fate/Grand Order,파르바티,Parvati
Fate/Grand Order,패션립,Passionlip
Fate/Grand Order,페그래,altera_(fate)
Fate/Grand Order,페난드라 모건,morgan_le_fay_(fate)
Fate/Grand Order,페르세포네,persephone_(fate)
Fate/Grand Order,펜테실레이아,Penthesilea
Fate/Grand Order,풀 바니,Paul_Bunyan
Fate/Grand Order,프랑켄슈타인,Frankenstein
Fate/Grand Order,프랑켄슈타인 산타,Frankenstein_(Christmas)
Fate/Grand Order,프랑켄슈타인 수영복,Frankenstein_(swimsuit_Saber)
Fate/Grand Order,프랜시스 드레이크,Francis_Drake
Fate/Grand Order,하베트롯,Habetrot
Fate/Grand Order,헤파이스티온,Hephaestion
Fate/Grand Order,현장 삼장,Xuanzang_Sanzang
Fate/Grand Order,형가,Jing_Ke
Fate/Grand Order,후트,fuuma_kotarou
Fate/Grand Order,히로인 X,heroine_x
Fate/Grand Order,히로인 X 얼터,heroine_x_alter
Fate/Grand Order,히로인 XX,heroine_xx
Fate/Grand Order,히메코,Himiko
Fate/stay night,마토 사쿠라,Sakura_Matou_(Fate/stay_night)
Fate/stay night,세이버 Saber,(Fate/stay_night)
Fate/stay night,이리야스필 폰 아인츠베른,Illyasviel_von_Einzbern_(Fate/stay_night)
Fate/stay night,캐스터,Caster(Fate/stay_night)
Fate/stay night,토오사카 린,Rin_Tohsaka_(Fate/stay_night)
K-On!,나카노 아즈사,nakano_azusa
K-On!,마나베 노도카,manabe_nodoka
K-On!,스즈키 준,suzuki_jun
K-On!,아키야마 미오,akiyama_mio
K-On!,야마나카 사와코,yamanaka_sawako
K-On!,코토부키 츠무기,kotobuki_tsumugi
K-On!,타이나카 리츠,tainaka_ritsu
K-On!,히라사와 우이,hirasawa_ui
K-On!,히라사와 유이,hirasawa_yui
강철의 연금술사,러스트,Lust
강철의 연금술사,리자 호크아이,Riza_Hawkeye
강철의 연금술사,올리비에 밀라 암스트롱,Olivier_Mira_Armstrong
강철의 연금술사,윈리 록벨,Winry_Rockbell
강철의 연금술사,이즈미 카터스,Izumi_Curtis
고블린 슬레이어,검의 처녀,Sword_Maiden
고블린 슬레이어,소치기 소녀,Cow_Girl(Goblin_Slayer)
고블린 슬레이어,엘프 궁수,High_Elf_Archer(Goblin_Slayer)
고블린 슬레이어,여신관,Priestess(Goblin_Slayer)
고블린 슬레이어,접수원 아가씨,Guild_Girl(Goblin_Slayer)
귀멸의 칼날,다키,Daki
귀멸의 칼날,도우마,douma_(kimetsu_no_yaiba)
귀멸의 칼날,렌고쿠 시즈에,rengoku_shizue
귀멸의 칼날,렌고쿠 쿄쥬로,rengoku_kyoujurou
귀멸의 칼날,마키오,Makio
귀멸의 칼날,미츠리 칸로지,kanroji_mitsuri
귀멸의 칼날,시나즈가와 산에미,shinazugawa_sanemi
귀멸의 칼날,아가츠마 젠이츠,agatsuma_zenitsu
귀멸의 칼날,아오이,kanzaki_aoi
귀멸의 칼날,아카자,akaza_(kimetsu_no_yaiba)
귀멸의 칼날,우즈이 마키오,uzui_makio
귀멸의 칼날,우즈이 수마,uzui_suma
귀멸의 칼날,우즈이 텐겐,uzui_tengen
귀멸의 칼날,우즈이 히나츠루,uzui_hinatsuru
귀멸의 칼날,이구로 오바나이,iguro_obanai
귀멸의 칼날,츠마,Suma
귀멸의 칼날,츠바키,tsubaki_(kimetsu_no_yaiba)
귀멸의 칼날,츠유리 카나에,Kanao_Tsuyuri
귀멸의 칼날,츠유리 카나오,tsuyuri_kanao
귀멸의 칼날,카마도 네즈코,kamado_nezuko
귀멸의 칼날,카마도 네지로,Nezuko_Kamado
귀멸의 칼날,카마도 탄지로,kamado_tanjirou
귀멸의 칼날,코쵸 시노부,Shinobu_Kocho
귀멸의 칼날,코쵸 카나에,kochou_kanae
귀멸의 칼날,쿠로사와 미시키,shinobu_kochou
귀멸의 칼날,키부츠지 무잔,kibutsuji_muzan
귀멸의 칼날,키요 카타라이,nakahara_sumi
귀멸의 칼날,토미오카 기유,tomioka_giyuu
귀멸의 칼날,토키토 무이치로,tokitou_muichirou
귀멸의 칼날,하시비라 이노스케,hashibira_inosuke
귀멸의 칼날,히메지마 교메이,himejima_gyoumei
나는 친구가 적다,미카츠키 요조라,Yozora_Mikazuki
나는 친구가 적다,시구마 리카,Rika_Shiguma
나는 친구가 적다,카시와자키 세나,Sena_Kashiwazaki
나는 친구가 적다,쿠스노키 유키무라,Yukimura_Kusunoki
나는 친구가 적다,타카먀아 케이트,Kate_Takayama
나는 친구가 적다,타카야마 마리아,Maria_Takayama
나는 친구가 적다,하세가와 코바토,Kobato_Hasegawa
나루토,가아라,gaara
나루토,나가토,nagato_(naruto)
나루토,나라 시카마루,nara_shikamaru
나루토,노하라 린,Rin_Nohara
나루토,니이 유기토,Yugito_Nii
나루토,데이다라,deidara_(naruto)
나루토,마부이,Mabui
나루토,마츠이,Matsuri
나루토,미나토 나미카제,namikaze_minato
나루토,미츠키,mitsuki_(naruto)
나루토,미타라시 앙코,Anko_Mitarashi
나루토,사무이,Samui
나루토,사소리,sasori_(naruto)
나루토,시즈네,Shizune
나루토,아마네,Ayame
나루토,아부라메 시노,aburame_shino
나루토,아키미치 쵸지,akimichi_chouji
나루토,야마나카 이노,Ino_Yamanaka
나루토,오로치마루,orochimaru_(naruto)
나루토,오오츠츠키 카구야,Kaguya_Otsutsuki
나루토,우즈마키 나루토,uzumaki_naruto
나루토,우즈마키 미토,Mito_Uzumaki
나루토,우즈마키 보루토,uzumaki_boruto
나루토,우즈마키 카린,Karin_Uzumaki
나루토,우즈마키 쿠시나,Kushina_Uzumaki
나루토,우즈마키 히마와리,uzumaki_himawari
나루토,우치하 마다라,uchiha_madara
나루토,우치하 미코토,Mikoto_Uchiha
나루토,우치하 사라다,uchiha_sarada
나루토,우치하 사스케,uchiha_sasuke
나루토,우치하 이즈미,uchiha_izumi
나루토,우치하 이타치,uchiha_itachi
나루토,유우히 쿠레나이,Yuuhi_Kurenai
나루토,이누즈카 키바,inuzuka_kiba
나루토,지라이야,jiraiya_(naruto)
나루토,츠나데,Tsunade
나루토,카루이,Karui
나루토,카쿠즈,kakuzu_(naruto)
나루토,칸쿠로,kankurou
나루토,코난,Konan
나루토,코노한 우자키,konan_(naruto)
나루토,코지,tobi_(naruto)
나루토,쿠로츠치,Kurotsuchi
나루토,쿠시나 우즈마키,uzumaki_kushina
나루토,키사메,hoshigaki_kisame
나루토,타유야,Tayuya
나루토,테루미 메이,Mei_Terumi
나루토,테마리,Temari
나루토,텐텐,Tenten
나루토,파쿠라,Pakura
나루토,페인,pain_(naruto)
나루토,하나비 휴우가,hyuuga_hanabi
나루토,하루노 사쿠라,Sakura_Haruno
나루토,하타케 카카시,hatake_kakashi
나루토,후우,Fuu
나루토,휴우가,히나타_Hinata_Hyuuga
나루토,휴우카,히나비_Hanabi_Hyuuga
나루토,히나타 휴우가,hyuuga_hinata
나루토,히단,hidan_(naruto)
나의 히어로 아카데미아,나카가메 타타미,Tatami_Nakagame
나의 히어로 아카데미아,러브러버,lovelover
나의 히어로 아카데미아,레이디 나강,_Lady_Nagant
나의 히어로 아카데미아,렉돌,Ragdoll
나의 히어로 아카데미아,류쿠,Ryukyu
나의 히어로 아카데미아,마운트 레이디,Mt._Lady
나의 히어로 아카데미아,만달레이,Mandalay
나의 히어로 아카데미아,멜리사 실드,Melissa_Shield
나의 히어로 아카데미아,미네타 미노루,mineta_minoru
나의 히어로 아카데미아,미도리야 이즈쿠,midoriya_izuku
나의 히어로 아카데미아,미드나이트,Midnight
나의 히어로 아카데미아,미르코,Mirko
나의 히어로 아카데미아,미츠키 카유,miruko
나의 히어로 아카데미아,바쿠고 미츠키,Mitsuki_Bakugo
나의 히어로 아카데미아,바쿠고 카츠키,bakugou_katsuki
나의 히어로 아카데미아,버닝,Burnin
나의 히어로 아카데미아,세로 한타,sero_hanta
나의 히어로 아카데미아,쇼지 메조,shouji_mezou
나의 히어로 아카데미아,시무라 나나,Nana_Shimura
나의 히어로 아카데미아,아스이 츠유,Tsuyu_Asui
나의 히어로 아카데미아,아시도 미나,Mina_Ashido
나의 히어로 아카데미아,아오야마 유가,aoyama_yuuga
나의 히어로 아카데미아,아이자와 쇼타,aizawa_shouta
나의 히어로 아카데미아,야나기 레이코,Reiko_Yanagi
나의 히어로 아카데미아,야오요로즈 모모,Momo_Yaoyorozu
나의 히어로 아카데미아,에리,eri_(boku_no_hero_academia)
나의 히어로 아카데미아,오지로 마시라오,ojiro_mashirao
나의 히어로 아카데미아,올 마이트,all_might
나의 히어로 아카데미아,우라라카 오챠코,Ochaco_Uraraka
나의 히어로 아카데미아,우사바미,Uwabami
나의 히어로 아카데미아,우츠시미 케미,Camie_Utsushimi
나의 히어로 아카데미아,이이다 텐야,iida_tenya
나의 히어로 아카데미아,쟈로,jirou_kyouka
나의 히어로 아카데미아,지로 쿄카,Kyoka_Jiro
나의 히어로 아카데미아,카미나리 덴키,kaminari_denki
나의 히어로 아카데미아,케키 치사키,chisaki_kai
나의 히어로 아카데미아,켄도 이츠카,Itsuka_Kendo
나의 히어로 아카데미아,코다 코지,kouda_kouji
나의 히어로 아카데미아,큐리어스,Chitose_Kizuki
나의 히어로 아카데미아,키리시마 에지로,kirishima_eijirou
나의 히어로 아카데미아,토가,히미코_Himiko_Toga
나의 히어로 아카데미아,토가 히미코,toga_himiko
나의 히어로 아카데미아,토도로키 레이,Rei_Todoroki
나의 히어로 아카데미아,토도로키 쇼토,todoroki_shouto
나의 히어로 아카데미아,토도로키 후유미,Fuyumi_Todoroki
나의 히어로 아카데미아,토모로 시가라키,shigaraki_tomura
나의 히어로 아카데미아,토카게 세츠나,Setsuna_Tokage
나의 히어로 아카데미아,토코야미 후미카게,tokoyami_fumikage
나의 히어로 아카데미아,픽시 팝,Pixie-Bob
나의 히어로 아카데미아,하가쿠레 토오루,Toru_Hagakure
나의 히어로 아카데미아,하구레 토오루,hagakure_tooru
나의 히어로 아카데미아,하도 네지레,Nejire_Hado
나의 히어로 아카데미아,하츠메 메이,Mei_Hatsume
나의 히어로 아카데미아,핫스폼,fat_gum
낙제기사의 영웅담,스텔라 버밀리온,Stella_Vermillion
낙제기사의 영웅담,아야츠지 아야세,Ayase_Ayatsuji
낙제기사의 영웅담,쿠로가네 시즈쿠,Shizuku_Kurogane
낙제기사의 영웅담,토도 토카,Touka_Toudou
단간론파,나나미 치아키,Chiaki_Nanami
단간론파,나에기 마코토,naegi_makoto
단간론파,마이조노 사야카,Sayaka_Maizono
단간론파,미오다 이부키,Ibuki_Mioda
단간론파,사이욘지 이요코,Hiyoko_Saionji
단간론파,산다이지 쿄스케,munakata_kyousuke
단간론파,샤일라 발케이리아,shirogane_tsumugi
단간론파,셀레스티아 루덴베르크,Celestia_Ludenberg
단간론파,소니아 네버마인드,Sonia_Nevermind
단간론파,시로가네 츠무기,Tsumugi_Shirogane
단간론파,아사히나 아오이,Aoi_Asahina
단간론파,아오이 아사히나,asahina_aoi
단간론파,아카마츠 카에데,Kaede_Akamatsu
단간론파,아키미 잇뽄마츠,nidai_nekomaru
단간론파,에노시마 쥰코,Junko_Enoshima
단간론파,오오와다 모운도,oowada_mondo
단간론파,오와리 아카네,Akane_Owari
단간론파,요나가 안지,Angie_Yonaga
단간론파,유메노,히미코_Himiko_Yumeno
단간론파,유메노 히미코,yumeno_himiko
단간론파,이루마 미우,Miu_Iruma
단간론파,이시마루 키요타카,ishimaru_kiyotaka
단간론파,이쿠사바 무쿠로,Mukuro_Ikusaba
단간론파,제노사이더 쇼우,genocider_shou
단간론파,챠바시라 텐코,Tenko_Chabashira
단간론파,초우노스케 시즈쿠,chabashira_tenko
단간론파,츄미노 양가,yonaga_angie
