artist_id,name,raw_variants,positive_count,negative_count,total_count,avg_positive_weight,max_positive_weight,min_positive_weight,preset_count,preset_ids,sample_preset_names
strongbana,strongbana,strongbana,22,0,22,1.373,3.0,0.8,22,artist_00003; artist_00007; artist_00009; artist_00037; artist_00040; artist_00041; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00047; artist_00049; artist_00050; artist_00051; artist_00052; artist_00053; artist_00059; artist_00063; artist_00071; artist_00076; artist_00079,Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Cartoon style / Philia의 그림체(arca) / 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty | Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D
ohisashiburi,ohisashiburi,ohisashiburi,20,0,20,0.65,1.5,0.5,20,artist_00002; artist_00003; artist_00010; artist_00037; artist_00042; artist_00043; artist_00044; artist_00045; artist_00047; artist_00050; artist_00053; artist_00055; artist_00059; artist_00063; artist_00065; artist_00066; artist_00070; artist_00071; artist_00076; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Classic art style / Philia의 그림체(arca) / Realistic Semi 2D | Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty | Philia #11 / Philia의 그림체(arca) / Realistic Semi 2D
kakure_eria,kakure_eria,kakure eria; kakure_eria,19,0,19,0.847,2.0,0.4,19,artist_00009; artist_00040; artist_00041; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00047; artist_00051; artist_00053; artist_00054; artist_00055; artist_00056; artist_00057; artist_00059; artist_00070; artist_00071; artist_00078,Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #10 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #11 / Philia의 그림체(arca) / Realistic Semi 2D | Philia #12 / Philia의 그림체(arca) / 2D-like Semi 2D
momisan,momisan,momisan,19,0,19,1.126,2.0,0.6,19,artist_00003; artist_00009; artist_00011; artist_00040; artist_00041; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00047; artist_00048; artist_00049; artist_00051; artist_00055; artist_00058; artist_00059; artist_00070; artist_00071,Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Cute style / Philia의 그림체(arca) / 2D-like Semi 2D | Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #10 / Philia의 그림체(arca) / Balanced Semi 2D
inoue_kiyoshirou,inoue_kiyoshirou,inoue kiyoshirou,17,0,17,1.641,3.0,0.5,17,artist_00002; artist_00037; artist_00039; artist_00041; artist_00042; artist_00043; artist_00044; artist_00045; artist_00049; artist_00050; artist_00053; artist_00055; artist_00059; artist_00063; artist_00071; artist_00076; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty | Man who don’t give up / 포기하지않는남자의 그림체(arca) / Balanced Semi 2D / Hard outline | Philia #10 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #11 / Philia의 그림체(arca) / Realistic Semi 2D
soukou_makura,soukou_makura,soukou_makura,13,0,13,0.762,1.5,0.4,12,artist_00003; artist_00040; artist_00041; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00051; artist_00058; artist_00070; artist_00071,Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #10 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #11 / Philia의 그림체(arca) / Realistic Semi 2D | Philia #12 / Philia의 그림체(arca) / 2D-like Semi 2D
baffu,baffu,baffu,12,0,12,0.867,1.8,0.6,12,artist_00037; artist_00040; artist_00042; artist_00045; artist_00046; artist_00047; artist_00048; artist_00050; artist_00053; artist_00059; artist_00070; artist_00071,Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty | Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #11 / Philia의 그림체(arca) / Realistic Semi 2D | Philia #14 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #15 / Philia의 그림체(arca) / Balanced Semi 2D
kezime,kezime,kezime,12,0,12,0.583,1.5,0.4,12,artist_00003; artist_00007; artist_00009; artist_00011; artist_00040; artist_00048; artist_00051; artist_00052; artist_00054; artist_00063; artist_00070; artist_00079,Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Cartoon style / Philia의 그림체(arca) / 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Cute style / Philia의 그림체(arca) / 2D-like Semi 2D | Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D
imamura_ryou,imamura_ryou,imamura ryou; imamura_ryou,11,0,11,1.191,1.7,0.6,11,artist_00002; artist_00009; artist_00019; artist_00039; artist_00040; artist_00051; artist_00054; artist_00058; artist_00068; artist_00069; artist_00070,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | FMNZTN's 18 / FMNZTN의 그림체(arca) / Semi Dot / muchimaro base | Man who don’t give up / 포기하지않는남자의 그림체(arca) / Balanced Semi 2D / Hard outline | Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D
kanke_(kank06020602),kanke_(kank06020602),kanke (kank06020602); kanke_(kank06020602),11,0,11,1.145,2.0,0.4,11,artist_00007; artist_00009; artist_00037; artist_00047; artist_00049; artist_00051; artist_00052; artist_00053; artist_00054; artist_00076; artist_00078,Cartoon style / Philia의 그림체(arca) / 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty | Philia #16 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #18 / Philia의 그림체(arca) / Balanced Semi 2D
murata_yuusuke,murata_yuusuke,murata yuusuke,11,0,11,1.155,1.5,0.8,11,artist_00002; artist_00003; artist_00009; artist_00010; artist_00011; artist_00037; artist_00063; artist_00070; artist_00076; artist_00078; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Classic art style / Philia의 그림체(arca) / Realistic Semi 2D | Cute style / Philia의 그림체(arca) / 2D-like Semi 2D
limgae,limgae,limgae,10,0,10,0.88,1.2,0.4,10,artist_00002; artist_00003; artist_00009; artist_00010; artist_00037; artist_00046; artist_00047; artist_00050; artist_00063; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Classic art style / Philia의 그림체(arca) / Realistic Semi 2D | Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty
horikoshi_kouhei,horikoshi_kouhei,Horikoshi_kouhei; horikoshi_kouhei,9,0,9,1.356,2.5,0.8,9,artist_00009; artist_00037; artist_00047; artist_00051; artist_00053; artist_00054; artist_00055; artist_00076; artist_00078,Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty | Philia #16 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #2 / Philia의 그림체(arca) / Realistic Semi 2D | Philia #3 / Philia의 그림체(arca) / 2D-like Semi 2D
sparrowl,sparrowl,sparrowl,7,0,7,1.229,1.8,0.9,7,artist_00016; artist_00040; artist_00041; artist_00048; artist_00067; artist_00068; artist_00069,FMNZTN's 14 / FMNZTN의 그림체(arca) / Dot / sparrowl base | Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #10 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #17 / Philia의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #4 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
healthyman,healthyman,healthyman,6,0,6,0.833,1.4,0.6,6,artist_00003; artist_00011; artist_00025; artist_00063; artist_00076; artist_00079,Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Cute style / Philia의 그림체(arca) / 2D-like Semi 2D | FMNZTN's 6 / FMNZTN의 그림체(arca) / Balanced Semi 2D / many humanbody ZzinBba | Putama base / Philia의 그림체(arca) / Balanced Semi 2D | Token say help me / Philia의 그림체(arca) / Balanced Semi 2D
henreader,henreader,henreader,6,0,6,1.533,2.9,1.2,6,artist_00001; artist_00011; artist_00043; artist_00056; artist_00057; artist_00076,13002#1 / 13002의 그림체(arca) / Semi Realistic | Cute style / Philia의 그림체(arca) / 2D-like Semi 2D | Philia #12 / Philia의 그림체(arca) / 2D-like Semi 2D | Philia #6 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #7 / Philia의 그림체(arca) / Balanced Semi 2D
imazawa,imazawa,imazawa,6,0,6,0.633,0.8,0.4,6,artist_00007; artist_00046; artist_00047; artist_00052; artist_00053; artist_00054,Cartoon style / Philia의 그림체(arca) / 2D | Philia #15 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #16 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #20 / Philia의 그림체(arca) / 2D | Philia #3 / Philia의 그림체(arca) / 2D-like Semi 2D
kurono_mitsuki,kurono_mitsuki,kurono mitsuki,6,0,6,1.55,2.5,0.6,6,artist_00002; artist_00003; artist_00010; artist_00037; artist_00044; artist_00050,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Classic art style / Philia의 그림체(arca) / Realistic Semi 2D | Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty | Philia #13 / Philia의 그림체(arca) / Balanced Semi 2D
2n5,2n5,2n5,5,0,5,1.34,2.3,0.8,5,artist_00002; artist_00010; artist_00028; artist_00063; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Classic art style / Philia의 그림체(arca) / Realistic Semi 2D | FMNZTN's 9 / FMNZTN의 그림체(arca) / Balanced Semi 2D / ie+2n5 | Putama base / Philia의 그림체(arca) / Balanced Semi 2D | Xipa base / Philia의 그림체(arca) / Balanced Semi 2D
asanagi,asanagi,asanagi,5,0,5,2.04,3.0,0.6,5,artist_00002; artist_00003; artist_00063; artist_00070; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Putama base / Philia의 그림체(arca) / Balanced Semi 2D | Skull zwa style / Philia의 그림체(arca) / Balanced Semi 2D | Xipa base / Philia의 그림체(arca) / Balanced Semi 2D
aya_shachou,aya_shachou,aya shachou,5,0,5,1.04,3.0,0.4,5,artist_00041; artist_00043; artist_00049; artist_00056; artist_00057,Philia #10 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #12 / Philia의 그림체(arca) / 2D-like Semi 2D | Philia #18 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #6 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #7 / Philia의 그림체(arca) / Balanced Semi 2D
himura_kiseki,himura_kiseki,himura_kiseki,5,0,5,1.28,1.8,0.8,5,artist_00009; artist_00037; artist_00050; artist_00054; artist_00076,Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty | Philia #19 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #4 / Philia의 그림체(arca) / Balanced Semi 2D | Token say help me / Philia의 그림체(arca) / Balanced Semi 2D
kim_eb,kim_eb,kim eb,4,0,4,1.587,1.8,1.0,4,artist_00008; artist_00025; artist_00032; artist_00075,Casual & Heavy color / CostaRocky의 그림체(arca) / Balanced Semi 2D | FMNZTN's 6 / FMNZTN의 그림체(arca) / Balanced Semi 2D / many humanbody ZzinBba | HisPreciousStyle / DPTG의 그림체(arca) / Balanced Semi 2D | Tasty style / ㅇㅇ#50034106의 그림체(arca) / Balanced Semi 2D
kimtoxic,kimtoxic,kimtoxic,4,0,4,1.175,2.5,0.6,4,artist_00045; artist_00046; artist_00070; artist_00071,Philia #14 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #15 / Philia의 그림체(arca) / Balanced Semi 2D | Skull zwa style / Philia의 그림체(arca) / Balanced Semi 2D | Skull zwa style v2 / Philia의 그림체(arca) / Balanced Semi 2D
lesly_oh,lesly_oh,lesly_oh,4,0,4,1.212,1.8,0.5,4,artist_00031; artist_00033; artist_00073; artist_00077,HisFirst / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / 3::flat color:: <<another feeling | Human ranch / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D | Slave v2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D | Western / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / join artist:contllenge
quasarcake,quasarcake,quasarcake,4,0,4,1.638,2.0,1.2,4,artist_00010; artist_00025; artist_00032; artist_00075,Classic art style / Philia의 그림체(arca) / Realistic Semi 2D | FMNZTN's 6 / FMNZTN의 그림체(arca) / Balanced Semi 2D / many humanbody ZzinBba | HisPreciousStyle / DPTG의 그림체(arca) / Balanced Semi 2D | Tasty style / ㅇㅇ#50034106의 그림체(arca) / Balanced Semi 2D
ronna,ronna,ronna,4,0,4,1.8,3.0,1.2,4,artist_00011; artist_00043; artist_00056; artist_00057,Cute style / Philia의 그림체(arca) / 2D-like Semi 2D | Philia #12 / Philia의 그림체(arca) / 2D-like Semi 2D | Philia #6 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #7 / Philia의 그림체(arca) / Balanced Semi 2D
solipsist,solipsist,solipsist,4,0,4,1.212,1.5,0.75,4,artist_00022; artist_00039; artist_00067; artist_00069,FMNZTN's 3 / FMNZTN의 그림체(arca) / Realistic Semi 2D / tasty chicken farm | Man who don’t give up / 포기하지않는남자의 그림체(arca) / Balanced Semi 2D / Hard outline | Shrimp with soy sauce #4 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #6 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
wanke,wanke,wanke,4,0,4,0.975,1.8,0.4,4,artist_00010; artist_00025; artist_00032; artist_00064,Classic art style / Philia의 그림체(arca) / Realistic Semi 2D | FMNZTN's 6 / FMNZTN의 그림체(arca) / Balanced Semi 2D / many humanbody ZzinBba | HisPreciousStyle / DPTG의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #1 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
xipa,xipa,xipa,4,0,4,1.925,3.0,1.2,4,artist_00002; artist_00003; artist_00063; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Putama base / Philia의 그림체(arca) / Balanced Semi 2D | Xipa base / Philia의 그림체(arca) / Balanced Semi 2D
cutesexyrobutts,cutesexyrobutts,cutesexyrobutts,3,0,3,0.833,1.5,0.4,3,artist_00010; artist_00032; artist_00075,Classic art style / Philia의 그림체(arca) / Realistic Semi 2D | HisPreciousStyle / DPTG의 그림체(arca) / Balanced Semi 2D | Tasty style / ㅇㅇ#50034106의 그림체(arca) / Balanced Semi 2D
ebora,ebora,ebora,3,0,3,1.733,2.0,1.2,3,artist_00007; artist_00041; artist_00052,Cartoon style / Philia의 그림체(arca) / 2D | Philia #10 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #20 / Philia의 그림체(arca) / 2D
furaggu_(frag_0416),furaggu_(frag_0416),furaggu_(frag_0416),3,0,3,0.25,0.25,0.25,3,artist_00060; artist_00061; artist_00062,Power mamerakkkkko / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / incomplete | Power mamerakkkkko v2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / jeneral out | Power mamerakkkkko v3 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / modernize
hanagata,hanagata,hanagata,3,0,3,0.8,0.8,0.8,3,artist_00034; artist_00035; artist_00036,I like artist:homunculus / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / ongoing | I like artist:homunculus v2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / join niichi_(komorebi-palette) | I like artist:homunculus v3 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / join artist:contllenge
henriiku_(ahemaru),henriiku_(ahemaru),henriiku (ahemaru),3,0,3,0.667,1.2,0.4,3,artist_00020; artist_00058; artist_00075,FMNZTN's 19 / FMNZTN의 그림체(arca) / Balanced Semi 2D / zagle zagle and looks good | Philia #8 / Philia의 그림체(arca) / Balanced Semi 2D | Tasty style / ㅇㅇ#50034106의 그림체(arca) / Balanced Semi 2D
homunculus_(alchemynote),homunculus_(alchemynote),homunculus_(alchemynote),3,0,3,1.6,1.7,1.55,3,artist_00034; artist_00035; artist_00036,I like artist:homunculus / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / ongoing | I like artist:homunculus v2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / join niichi_(komorebi-palette) | I like artist:homunculus v3 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / join artist:contllenge
hyocorou,hyocorou,hyocorou,3,0,3,1.0,1.2,0.6,3,artist_00002; artist_00003; artist_00055,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #5 / Philia의 그림체(arca) / Balanced Semi 2D
imigimuru,imigimuru,imigimuru,3,0,3,1.533,1.6,1.5,3,artist_00037; artist_00050; artist_00076,Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty | Philia #19 / Philia의 그림체(arca) / Balanced Semi 2D | Token say help me / Philia의 그림체(arca) / Balanced Semi 2D
jeneral,jeneral,jeneral,3,0,3,1.1,1.1,1.1,3,artist_00060; artist_00061; artist_00062,Power mamerakkkkko / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / incomplete | Power mamerakkkkko v2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / jeneral out | Power mamerakkkkko v3 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / modernize
jima,jima,jima,3,0,3,1.467,2.0,1.1,3,artist_00065; artist_00066; artist_00069,Shrimp with soy sauce #2 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #3 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #6 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
kereno,kereno,kereno,3,0,3,0.5,0.6,0.4,3,artist_00011; artist_00056; artist_00057,Cute style / Philia의 그림체(arca) / 2D-like Semi 2D | Philia #6 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #7 / Philia의 그림체(arca) / Balanced Semi 2D
kidmo,kidmo,kidmo,3,0,3,0.467,0.8,0.3,3,artist_00001; artist_00013; artist_00017,13002#1 / 13002의 그림체(arca) / Semi Realistic | FMNZTN's 10 / FMNZTN의 그림체(arca) / Realistic Semi 2D / 거의 반실사/퇴폐적 | FMNZTN's 16 / FMNZTN의 그림체(arca) / Balanced Semi 2D / terasu mix
krenz,krenz,krenz,3,0,3,0.967,1.1,0.7,3,artist_00067; artist_00068; artist_00069,Shrimp with soy sauce #4 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #5 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #6 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
