rank,artist_name,total_count,preset_count,avg_positive_weight,danbooru_id,danbooru_wiki,other_names,urls,top_works
36,quasarcake,4,4,1.638,241140,https://danbooru.donmai.us/artists/241140,🌌; QUASARCAKE; Glansi; ceciliakaf,,sousou_no_frieren(20); arknights(15); arknights:_endfield(6); hololive(4); hololive_english(4)
37,ronna,4,4,1.8,91624,https://danbooru.donmai.us/artists/91624,asnaronna; ronna-h; ronna_h; ronnashi; ろんな; 論無し,,ts_loli_oji-san_no_boukan(21); fate/grand_order(5); fate_(series)(5); yama_no_susume(4); comiket_107(1)
38,solipsist,4,4,1.212,237841,https://danbooru.donmai.us/artists/237841,Solip; Solip-; Solip_ist,,monogatari_(series)(37); kizumonogatari(14); bakemonogatari(9); omori(5); chainsaw_man(4)
39,wanke,4,4,0.975,150568,https://danbooru.donmai.us/artists/150568,studio_eight; wan_ke; 완케; ￦anke,,grimlight(14); chainsaw_man(6); kimetsu_no_yaiba(5); legendary_sword(3); jujutsu_kaisen(3)
40,xipa,4,4,1.925,422708,https://danbooru.donmai.us/artists/422708,XIPAファンクラブ; Xipa; Xipa645,,blue_archive(29); zenless_zone_zero(6); arknights(3); arknights:_endfield(3); hololive(2)
41,cutesexyrobutts,3,3,0.833,151571,https://danbooru.donmai.us/artists/151571,csr-paintings; cute_sexy_robutts; robutts,,azur_lane(9); persona(3); pokemon(3); kono_subarashii_sekai_ni_shukufuku_wo!(2); pokemon_x_and_y(2)
42,ebora,3,3,1.733,293355,https://danbooru.donmai.us/artists/293355,Ebor18; Ebora_art; ebora14576; ebora_lb6_era; eboraboy; eborad; eborart; grognis47; roabe; youngmanisdown; yungmanisntdown,,fate_(series)(30); fate/grand_order(27); nyanko_daisensou(7); pokemon(5); bakemonogatari(4)
43,furaggu_(frag_0416),3,3,0.25,272600,https://danbooru.donmai.us/artists/272600,frag_0416; ふらっぐ,,kantai_collection(44); pokemon(2); pokemon_legends:_z-a(2); xenoblade_chronicles_(series)(2); xenoblade_chronicles_3(2)
44,hanagata,3,3,0.8,68531,https://danbooru.donmai.us/artists/68531,870mg; hanada_(5385); hanada_(rakugakiii); hanada_(wc); hanada_shio; hanada_shiwo; hanakeda; hshs; lv240; lv870; m809658; moi; moooo; nisiwo2; rakugakiii; し.を; となりの山田; に田んぼの田; 侘助; 田んぼ; 花; 花ヶ田; 花ヶ田_/_hanagata; 花田; 花田しを; ｗｃ,,fate_(series)(21); fate/grand_order(19); watashi_no_oshi_wa_akuyaku_reijou(5); heaven_burns_red(4); project_sekai(3)
45,henriiku_(ahemaru),3,3,0.667,121718,https://danbooru.donmai.us/artists/121718,aemaru_(kenzenahemaru); ahemaru; ahemaru_(henriiku); ahemaru_(renimiruhisyutorase); henriiku; kenzenahemaru; renimiruhisyutorase; あへまる; アヘ丸; アヘ丸(ヘンリーク); ヘンリーク; ヘンリーク(アヘ丸),,hololive(33); hololive_dev_is(6); hololive_english(2); fate_(series)(2); eizouken_ni_wa_te_wo_dasu_na!(2)
46,homunculus_(alchemynote),3,3,1.6,33944,https://danbooru.donmai.us/artists/33944,ho; homunculus; homunculus_(artist); undercover_brothers; ホ; ホム; ホムンクルス; ホムンクルス_(漫画家),,comic_kairakuten(2); monogatari_(series)(1); fate/grand_order(1); fate_(series)(1)
47,hyocorou,3,3,1.0,35005,https://danbooru.donmai.us/artists/35005,hyoco; hyoco6; hyoco_michi; hyoco_road; ひょころー; ひょこ道,,kyouka_jinrui_amunero(10); street_fighter(4); street_fighter_6(3); occultic;nine(2); science_adventure(2)
48,imigimuru,3,3,1.533,5355,https://danbooru.donmai.us/artists/5355,ayashi; meari; いみぎむる; アヤシ,,make_heroine_ga_oo_sugiru!(46); otonari_no_tenshi-sama_ni_itsu_no_mani_ka_dame_ningen_ni_sarete_ita_ken(1); lycoris_recoil(1); sousou_no_frieren(1)
49,jeneral,3,3,1.1,211928,https://danbooru.donmai.us/artists/211928,janggun; janggun8202; mister-j; mr.j,,one-punch_man(7); blue_archive(5); fire_emblem(4); fire_emblem:_three_houses(4); overlord_(maruyama)(3)
50,jima,3,3,1.467,93013,https://danbooru.donmai.us/artists/93013,b0o367po; chirochirochiron; iijima_masashi; opopowa; opopowa1; ちろちろちろん; 飯島まさし,,vspo!(3)
51,kereno,3,3,0.5,24462,https://danbooru.donmai.us/artists/24462,am-kereno; am_kereno; amber_kereno; ke_(amber); kereno_6; kereno_amber; kereno_teikoku; けれの; けれの帝国,,"idolmaster(12); idolmaster_cinderella_girls(12); granblue_fantasy(5); hime-sama_""goumon""_no_jikan_desu(4); pokemon(2)"
52,kidmo,3,3,0.467,186163,https://danbooru.donmai.us/artists/186163,kidmo; kidmo_art; kimdonga; 김동아; 벅지ㅡkidmo,,indie_virtual_youtuber(4); league_of_legends(4); sanabi(2); honkai:_star_rail(2); honkai_(series)(2)
53,krenz,3,3,0.967,11010,https://danbooru.donmai.us/artists/11010,Krenz; Krenz教學管理中心; chung_gou-shou; cushart,,fate_(series)(5); girls'_frontline(4); fate/grand_order(4); fate/extra(3); kantai_collection(2)
54,kyapefuro,3,3,0.8,503264,https://danbooru.donmai.us/artists/503264,きゃぺふろ,,sefri_no_ichihara_ga_nigashite_kurenai(42); majime_na_kouhai_kara_kairaku_zeme_sareru_nante_kiitenai!(8)
55,lakilolom,3,3,1.833,112886,https://danbooru.donmai.us/artists/112886,gjs1105; laki-lolom; lakilolom01; lakilolom02; lakilolomH; 라기롤롬,,kantai_collection(3); kobayashi-san_chi_no_maidragon(2); vocaloid(2); voiceroid(2); zako_(vocaloid)(2)
56,lunch_(shin_new),3,3,0.967,4589,https://danbooru.donmai.us/artists/4589,lunch_(lunch3); shin_new; らんち; 新入部員,,blue_archive(46); bunny_garden(4)
57,mamerakkkkko,3,3,0.85,192196,https://danbooru.donmai.us/artists/192196,mame_rakko; onesyotarakko; pontapon13; tanakataroukami; 冷えた豆ラッコ; 凍った豆ラッコ; 某ラッコ; 豆ラッコ,,meitantei_precure!(5); precure(5); mcdonald's(4); indie_virtual_youtuber(4); yu-gi-oh!(3)
58,manglifer,3,3,1.45,191192,https://danbooru.donmai.us/artists/191192,Aza; Aza0706,,zenless_zone_zero(25); blue_archive(9); girls'_frontline(5); girls'_frontline_2:_exilium(5); meitantei_precure!(4)
59,meme50,3,3,1.633,9430,https://danbooru.donmai.us/artists/9430,meme; memememe; メメ; メメ50; メメメメ; メメ屋,,comiket_107(4); umamusume(3); devil_may_cry_(series)(2); devil_may_cry_4(2); fate/grand_order(2)
60,null_(nyanpyoun),3,3,0.9,56970,https://danbooru.donmai.us/artists/56970,anal-aki; anal_aki; null; nyanpyoun; ぬるり; アナルあき,,strike_witches(34); world_witches_series(34)
61,putama,3,3,1.8,218509,https://danbooru.donmai.us/artists/218509,Putama_Lv2; Putama_P; patupa_m; putama8427; ぷ; ぷ玉,,blue_archive(46); senran_kagura(2); comiket_104(1); oshiro_project:re(1); comiket_102(1)
62,qiandaiyiyu,3,3,1.0,234770,https://danbooru.donmai.us/artists/234770,Qiandai以宇; qiandailove; 千代以宇,,spy_x_family(9); zenless_zone_zero(8); avatar:_aang_the_last_airbender(3); avatar_legends(3); blue_archive(1)
63,spoiledmuffin,3,3,0.6,289139,https://danbooru.donmai.us/artists/289139,6rgwFx78fXpJtqr; user_kkdd4258,,jujutsu_kaisen(6); half-life_(series)(3); half-life_1(2); yokubou_pandora(2); deadlock_(game)(2)
64,sutochan,3,3,1.7,205322,https://danbooru.donmai.us/artists/205322,iamsuto; kento1102; oidns; stkn1102; suto; suto_(iamsuto); sutokun; すと; すと君,,bocchi_the_rock!(10); genshin_impact(4); idolmaster(1); idolmaster_shiny_colors(1); blue_archive(1)
65,takanashi_shin,3,3,0.65,312419,https://danbooru.donmai.us/artists/312419,たかなししん; takanashi_shin; shin_takanashi,,lupin_iii(3); kachouya_no_sannin_musume(2); anpanman(2); kaze_no_tani_no_nausicaa(2); dr._slump(2)
66,uo_denim,3,3,1.267,98930,https://danbooru.donmai.us/artists/98930,justicesoul; sakana_denim; sellbitch_suisan; serubicchi_suisan; serubitchi_suisan; uo-denim; uodenim; うおでにむ; セルビッチ水産; 魚デニム,,fate_(series)(33); fate/grand_order(27); fate/extra(10); fate/extra_ccc(4); pornhub(2)
67,yoya_yogurt,3,3,1.1,201615,https://danbooru.donmai.us/artists/201615,Seul_Gi_Shin; yoyayogurt,,goddess_of_victory:_nikke(50); chainsaw_man(1)
68,yuune_(ayanepuna),3,3,1.0,119379,https://danbooru.donmai.us/artists/119379,ayanepuna; thanders_yuu; ゆーね; ゆーね＠３日目東く-33b,,"blue_archive(5); genshin_impact(1); hazure_skill_""kinomi_master"":_skill_no_mi_(tabetara_shinu)_wo_mugen_ni_taberareru_you_ni_natta_ken_ni_tsuite(1)"
69,96yottea,2,2,0.925,300406,https://danbooru.donmai.us/artists/300406,96YOTTEA; cdicedtea; writteninthestars; 黑茶星冰乐,,chainsaw_man(19); haikyuu!!(7); wuthering_waves(4); kusuriya_no_hitorigoto(4); indie_virtual_youtuber(3)
70,ciloranko,2,2,1.05,187397,https://danbooru.donmai.us/artists/187397,kipilus; olfxbkgcui; trnyteal; 宇宙幽灵人; 小纪世界最菜; 幸运观众友人A; 海浪松饼; 海浪松饼TrNyteal; 纪; 纪奈啾; 纪渚良; 纪渚良真的很菜; 纪英俊,,silver_palace(13); girls'_frontline(13); resonance_solstice(4); arknights(3); vocaloid(2)
71,contllenge,2,2,1.15,85479,https://danbooru.donmai.us/artists/85479,neighbor; nicoseiga51118084; otonari; オトナリ; コントレンジ,,jujutsu_kaisen(1); pokemon(1)
72,dishwasher1910,2,2,1.2,120141,https://danbooru.donmai.us/artists/120141,Bakudo_desu; D.I.S.H; DISH; DISH_Dishwasher1910; Dish1910; Dishwasher1910; Dishwasher1911; bach_do; bachdo211; dishwasherultimate1910,,goddess_of_victory:_nikke(28); azur_lane(6); blue_archive(3); resident_evil(2); vocaloid(2)
73,dryegen,2,2,1.8,298708,https://danbooru.donmai.us/artists/298708,D'Ryegen; Dryegen; Dryegen046,,arknights(28); arknights:_endfield(11); chivalry_starved(3); goddess_of_victory:_nikke(3); fate/grand_order(2)
74,gebijiade_89,2,2,0.7,121917,https://danbooru.donmai.us/artists/121917,89; 89898989; 89DOMO; 89_(ning); 89くく; NinnG1017; SB898989; atninee; doudoude89; eight9; yoyo2doggness; 八九鼓风机; 八级小诳风; 天神众支支八; 失张89; 隔壁家的89; 수,,meitantei_conan(3); adventure_time(2); slay_the_spire(1); slay_the_spire_2(1); reverend_insanity(1)
75,godiva_ghoul,2,2,0.85,314617,https://danbooru.donmai.us/artists/314617,GodivaGhoul; Good_Godiva_Ghoul; 𝕲𝖔𝖉𝖎𝖛𝖆_𝕲𝖍𝖔𝖚𝖑,,
76,haguhagu_(rinjuu_circus),2,2,0.6,58341,https://danbooru.donmai.us/artists/58341,dwayne_(wadk); hagoo; hagu_hagu; haguhagu; lovehug_sasha; phobia_complex; raymond_felton_(flipped); rinjyu_circus; uoʇlǝɟ_puoɯʎɐɹ; uoʇlゑɟ_puoɯʎoɹゑ; wadk; どうぇいん。; はぐはぐ; はぐはぐ:underage:; フォビアコンプレックス; 臨終サーカス,,sasha-chan_to_classmate_otaku-kun(4); nijisanji(2)
77,hanabushi,2,2,1.5,200164,https://danbooru.donmai.us/artists/200164,はなぶし; はな武士; 渡邊巧大; 渡邊功大,,kung-fu-piggy(24); zutto_mayonaka_de_ii_no_ni(22); obenkyou_shitoiteyo(11); kuraku_kuroku_(zutomayo)(7); uso_janai_(zutomayo)(7)
78,handplug,2,2,1.35,163564,https://danbooru.donmai.us/artists/163564,HandPlug; fullforcefoward; jmh5692; フルフォースフォワード,,hololive(32); hololive_english(9); blue_archive(4); hololive_dev_is(4); persona(2)
79,hintobento,2,2,1.25,378249,https://danbooru.donmai.us/artists/378249,hinto; ihiuhiuhiuhiu,,zenless_zone_zero(17); goddess_of_victory:_nikke(11); mario_(series)(4); indie_virtual_youtuber(3); dispatch(3)
80,horikou,2,2,1.35,58229,https://danbooru.donmai.us/artists/58229,horikooooou; horikou_(horinchi); horikouhorikou; horinchi; i7cwif2q; okth-group; okth-gruop; u_yuan_t; ほりこう; ほりんち; オックスグループ; 梅谷つちのこ; 絢正舎,,yurucamp(22); mono_(afro)(6); sekai_no_do-hentai_juu_zukan(2); anpanman(1); umamusume(1)
81,komugiko_2000,2,2,2.45,188380,https://danbooru.donmai.us/artists/188380,komugiko2000; こむぎこ2000,,zutto_mayonaka_de_ii_no_ni(10); kira_killer_(zutomayo)(8); kangurei_(zutomayo)(3); yoku_moku(3); dandadan(2)
82,kurosteel_ds,2,2,1.0,191974,https://danbooru.donmai.us/artists/191974,クロハガネ,,blue_archive(42); elden_ring(2); idolmaster(2); idolmaster_shiny_colors(2); pokemon(1)
83,kyoeikyoei52906,2,2,0.7,406913,https://danbooru.donmai.us/artists/406913,kyoei-kyoei; 巨影,,arknights(43); arknights:_endfield(2); blue_archive(2); indie_virtual_youtuber(2); phantasy_star(1)
84,maki_keigo,2,2,2.0,154400,https://danbooru.donmai.us/artists/154400,chouonsoku-jiisan; katsuragi_(nankatobidesou); nankatobidesou; 真木蛍五; 葛城,,ensemble_stars!(23); nijisanji(5); arknights(3); kawaii_dake_ja_nai_shikimori-san(3); hunter_x_hunter(3)
85,miito_(meeeeton333),2,2,2.5,209404,https://danbooru.donmai.us/artists/209404,meeeeton333; みーと,,azur_lane(1); overlord_(maruyama)(1); arknights(1); hololive(1); idolmaster(1)
86,mika_pikazo,2,2,1.05,104343,https://danbooru.donmai.us/artists/104343,MikaPikazo_MPZ; igix; ミカ_ピカゾ,,hololive(11); monogatari_(series)(9); bakemonogatari(5); hololive_english(4); needy_girl_overdose(3)
87,misaka_12003-gou,2,2,0.6,68126,https://danbooru.donmai.us/artists/68126,misaka12003; misako12003; 御坂12003; 御坂12003@c1☆ぬ04a; 御坂12003号@comic1☆14ぬ04a,,wuthering_waves(13); honkai_(series)(11); honkai:_star_rail(10); blue_archive(6); fate_(series)(5)
88,momokumo,2,2,1.45,34846,https://danbooru.donmai.us/artists/34846,Salfish_Laboratory; cloud7053; cloud7054; iv6klsn6; ki_momokumo; kimomokumo; momokumo_; natu-kanade; richard; richard_viii; richardottavo; se_rurabo; selfishlaboratory; selrabo; serurabo; user_zpza8473; xHk5aIGW52A; りちゃーど8.5; セ_ルラボ; セルラボ; リチャードⅷ世; 桃クモ; 桃雲; 樹_桃クモ,,love_live!(6); love_live!_sunshine!!(3); love_live!_superstar!!(3); real_life(2); comiket_102(2)
89,nai_ga,2,1,2.5,241571,https://danbooru.donmai.us/artists/241571,naiga12,,limbus_company(44); project_moon(44); lobotomy_corporation(4); library_of_ruina(4); blue_archive(2)
90,niichi_(komorebi-palette),2,2,1.15,44280,https://danbooru.donmai.us/artists/44280,komorebi_palette; komorebi_pallet; mikkii; mikkii_(webtrek); niichi; niichi021; niichi_(komorebi_palette); niichi_(komorebi_pallet); niichi_(sunpallet); sunpallet; webtrek; うたた寝ぱれっと; かすたぁどけぇき♪; にいち; のーぷろぶれむ。; みっきー; 二一; 木漏れ陽ぱれっと; 니치; ２号,,real_mo_tama_ni_wa_uso_wo_tsuku(40); comiket_102(2); comiket_106(1); gochuumon_wa_usagi_desu_ka?(1); hololive(1)
91,norakura_(nr_kura),2,2,0.75,123569,https://danbooru.donmai.us/artists/123569,norakura; norakura_(vivit); norakura_eki; nr_kura; vivit; のらくら; のらくら液; らくらの,,kantai_collection(10)
92,oda_non,2,2,1.45,19472,https://danbooru.donmai.us/artists/19472,odanon; odanondesu; rokurou; おだのん; 織田non; 虎ぼるた,,digimon(1); one_piece(1); fate/extra(1); fate/extra_ccc(1); fate/grand_order(1)
93,ouchi_kaeru,2,2,1.2,210302,https://danbooru.donmai.us/artists/210302,GoHome_kun; Inonaka_Kawazu; inonaka_ouchi; kawazuchanR18; watariganikun; おうちかえる; 御家; 御家かえる🐸胃ノ中かわず,,koi_to_senrigan_to_aonisai(1)
94,pigeon666,2,2,1.1,105278,https://danbooru.donmai.us/artists/105278,666pigeon; 82pigeon; Angry82pigeon; Sclass_body; pigeon; 닌탱대왕; 송버거; 🌵82pigeon🌵,,splatoon_(series)(5); steven_universe(3); gundam(3); gundam_suisei_no_majo(3); splatoon_2(2)
95,porinki,2,2,1.85,419756,https://danbooru.donmai.us/artists/419756,poripori3123; ぽりんき,,bang_dream!(49); bang_dream!_it's_mygo!!!!!(49); pokemon(1); pokemon_legends:_z-a(1)
96,rei_(sanbonzakura),2,2,0.95,39574,https://danbooru.donmai.us/artists/39574,coralstone; pcproduction; rei17; rei_17; rei子; rui; sanbonzakura; tofuko; トフ子; 咒; 咒.rei; 掉掉; 理查; 理查不接稿不接广告; 理查理查; 老累; 郑睿; 零; 雷母,,song_of_time(18); touhou(7); tamaonsen(5); jojo_no_kimyou_na_bouken(3); stardust_crusaders(3)
97,shiokonbu,2,2,1.5,37435,https://danbooru.donmai.us/artists/37435,8622bnc681; siokonbu_; uni_sio; しおこんぶ,,nonohara_yuka_no_himitsu_no_haishin(16); idolmaster(5); idolmaster_shiny_colors(5); indie_virtual_youtuber(3); choukou_(alicesoft)(3)
98,shiroi_yoru,2,2,2.1,256344,https://danbooru.donmai.us/artists/256344,ayuki_(26659796); ayuki_123; shiroiyoru0247_,,hololive(50)
99,suga_hideo,2,2,1.85,12870,https://danbooru.donmai.us/artists/12870,hideo; maa-kun; negativelove; sugahideo_mk2; tomatika; ひでお; まーくん; スガヒデオ; ビューティーラヴ,,fate/grand_order(2); fate_(series)(2); gundam(1); gundam_gquuuuuux(1); melonbooks(1)
100,taaru_(taru),2,2,0.75,163446,https://danbooru.donmai.us/artists/163446,(taru); niconicotin; taaru; タル; タール; （タル）,,voiceroid(13); touhou(8); pokemon(4); voicevox(3); vocaloid(3)
